id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,dismissal_kind,player_of_match,umpire1,umpire2,umpire3,venue
1,2017,Hyderabad,05-04-2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,,Yuvraj Singh,AY Dandekar,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal"
2,2017,Pune,06-04-2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,,SPD Smith,A Nand Kishore,S Ravi,,Maharashtra Cricket Association Stadium
3,2017,Rajkot,07-04-2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,,CA Lynn,Nitin Menon,CK Nandan,,Saurashtra Cricket Association Stadium
4,2017,Indore,08-04-2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,,GJ Maxwell,AK Chaudhary,C Shamshuddin,,Holkar Cricket Stadium
5,2017,Bangalore,08-04-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,,KM Jadhav,,,,M Chinnaswamy Stadium
6,2017,Hyderabad,09-04-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,,Rashid Khan,A Deshmukh,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal"
7,2017,Mumbai,09-04-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,,N Rana,Nitin Menon,CK Nandan,,Wankhede Stadium
8,2017,Indore,10-04-2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,,AR Patel,AK Chaudhary,C Shamshuddin,,Holkar Cricket Stadium
9,2017,Pune,11-04-2017,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,,SV Samson,AY Dandekar,S Ravi,,Maharashtra Cricket Association Stadium
10,2017,Mumbai,12-04-2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,,JJ Bumrah,Nitin Menon,CK Nandan,,Wankhede Stadium
11,2017,Kolkata,13-04-2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,,SP Narine,A Deshmukh,NJ Llong,,Eden Gardens
12,2017,Bangalore,14-04-2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,caught,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,,M Chinnaswamy Stadium
13,2017,Rajkot,14-04-2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,,AJ Tye,A Nand Kishore,S Ravi,,Saurashtra Cricket Association Stadium
14,2017,Kolkata,15-04-2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,,RV Uthappa,AY Dandekar,NJ Llong,,Eden Gardens
15,2017,Delhi,15-04-2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,,CJ Anderson,YC Barde,Nitin Menon,,Feroz Shah Kotla
16,2017,Mumbai,16-04-2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,,N Rana,A Nand Kishore,S Ravi,,Wankhede Stadium
17,2017,Bangalore,16-04-2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,27,0,,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,,M Chinnaswamy Stadium
18,2017,Delhi,17-04-2017,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,,NM Coulter-Nile,Nitin Menon,CK Nandan,,Feroz Shah Kotla
19,2017,Hyderabad,17-04-2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,5,0,,B Kumar,AY Dandekar,A Deshmukh,,"Rajiv Gandhi International Stadium, Uppal"
